Yeni sayaç seri no,Sıra No,Muhatap,Kat,Blok,Bölge,Eski sayaç üretim tarihi,Eski sayaç seri no,Eski sayaç son endeks,Kolayveri cihaz no,Not,Firma adı ve nereye ait,Akım trafo oranı,Çarpan değeri
300266997,25,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2016,2778147,15624,MA-RF-3486-6DF2,Sayaç bağlı,PERSONEL DİNLENME ALANI ODASI B-2,1,1
100371627,26,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2016,73240316,20207,MA-RF-3486-6DF2,Sayaç bağlı,YAPI KREDİ ATM,1,1
100371728,27,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2016,73223775,24192,MA-RF-3486-6DF2,Sayaç bağlı,GARANTİ ATM,1,1
100371354,28,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2016,73240571,33178,MA-RF-3486-6DF2,Sayaç bağlı,İŞBANKASI ATM,1,1
100371459,29,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2015,72809315,25513,MA-RF-3486-6DF2,Sayaç bağlı,AKBANK ATM,1,1
100371470,30,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-B2 A1 ELEKTRİK ODASI ATÖLYE KARŞISI,2021,52302696,0,MA-RF-3486-6DF2,Sayaç bağlı,ZİRAAT BANKASI ATM,1,1
810044631,31,AVM,B2,A1 Elektrik Odası Atölye Karşısı,B2-Trafo 1,2025,810044631,0,MA-RF-3486-7003,Sayaç bağlı,"ANA TRAFO PANASU (TR6)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",100/5,20
300265471,32,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B2-B2 YAKIT TANKI ELEKTRİK ODASI YANI A6,2014,2386209,150,MA-RF-3486-7003,Sayaç bağlı,A1 YANGIN PANOSU,1600/5,320
300267179,33,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2024,300267179,0,MA-RF-3486-7016,Sayacın okuması yok,TÜRKTELEKOM YENİ SAYAÇ 17.12.2025,1,1
300265974,34,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2014,2386248,26889,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,KÖFTECİ YUSUF1 109-110,150/5,30
810026991,35,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2023,810026991,0,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,KÖFTECİ YUSUF2 111-113,250/5,50
810026769,36,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2023,810026769,0,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,"DÖNER ""Y"" KÖFTECİ YUSUF 3 115",250/5,50
300267001,37,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2016,2777525,32966,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,KÖFTECİ YUSUF DEPO 4 -178-(B-2 BÜYÜK DEPO),1,1
300266994,38,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2016,2777471,385,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,A-2 BLOK KAYAR LED DIŞ AYDINLATMA,1,1
300265566,39,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2014,2386050,19089,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,BURGER KİNG 2 -114,400/5,80
300265964,40,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2014,2386152,18115,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,KÖFTECİ YUSUF 5-112,400/5,80
300265466,41,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2015,2386702,13852,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,FUNDORA AİLE EĞLENCE MERKEZİ 23,1000/5,200
300265468,42,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2014,2386218,3509,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,FUNDORA içi KLİMA SANTRALİ,125/5,25
300265757,43,AVM,B2,A6 Yakıt Tankı Elektrik Odası Yanı,B4-A2 ELEKTRİK ODASI B4 KAZAN DAİRESİ KARŞISI,2014,2386048,23296,MA-RF-3486-7016,Modem bağlı. Sinyal gelmiyor.,AUTO CLUB (OTO YIKAMA),75/5,15
300264781,44,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2014,2377563,700,MA-RF-3486-700B,Sayaç bağlı,GARAJ FORM B-3 D-11,75/5,15
2378736,45,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,0,0,0,MA-RF-3486-700B,Sayaç bağlanacak,GARAJ FORM B-3 D-12,100/5,20
300265755,46,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2014,2377507,43025,MA-RF-3486-700B,Sayaç bağlı,GETİR  45  13-14,75/5,15
2386493,47,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,0,0,0,MA-RF-3486-700B,Sayaç bağlanacak,STATEMENT DEPO 71  Z-K A-4,125/5,15
2386341,48,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,,,,MA-RF-3486-700B,Bilinmiyor,NA TAMAAM DÜKKAN 72 Z-K A-4,150/5,30
300264782,49,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2014,2386437,1237,MA-RF-3486-700B,Sayaç bağlı,AYUMİ DEPO 73,150/5,30
2386259,50,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,,,,MA-RF-3486-700B,Bilinmiyor,NA TAMAAM DÜKKAN 74 Z-K A-4,125/5,25
2386314,51,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,,,,MA-RF-3486-700B,Bilinmiyor,Z-75 A-4 BLOK,75/5,15
2386397,52,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2014,2386397,0,MA-RF-3486-700B,Sayaç bağlı,A 46 B-1 KAT TİCARİ A-046  B-1 TİCARİ KAT (GULFSTAR),75/5,15
2386241,53,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2386241,0,MA-RF-3486-700B,Sayaç bağlı,A 47 B-1 KAT TİCARİ,75/5,15
300267185,54,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2778261,82592,MA-RF-3486-700B,Sayaç bağlı,SÜPER ONLİNE  108,1,1
300267183,55,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2778167,56709,MA-RF-3486-700B,Sayaç bağlı,VODEFONE 109,1,1
300264792,56,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2014,238632,879,MA-RF-3486-700B,Sayaç bağlı,YENİ YÖNETİM OFİS,100/5,20
100100861,57,AVM,B4,A4 Elektrik Odası Kazan Dairesi Arka Kapı Karşısı,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,100100861,3383,YOK,Sayaç bağlı,REEDER TELEFONCU,1,1
2777073,58,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777073,0,MA-RF-3486-7015,Sayaç bağlı,DÜKKAN 39 ÜÇAY MÜHENDİSLİK,1,1
2777096,59,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777096,0,MA-RF-3486-7015,Sayaç bağlı,DÜKKAN 40 ÜÇAY MÜHENDİSLİK,1,1
2777086,60,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777086,0,MA-RF-3486-7015,Sayaç bağlı,DÜKKAN 41 ÜÇAY MÜHENDİSLİK,1,1
2777023,61,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777023,0,MA-RF-3486-7015,Sayaç bağlı,B-1 KAT TİCARİ DÜKKAN 42,1,1
2777124,62,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777124,0,MA-RF-3486-7015,Sayaç bağlı,B-1 KAT TİCARİ DÜKKAN 43,1,1
2777069,63,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2777069,0,MA-RF-3486-7015,Sayaç bağlı,B-1 KAT TİCARİ DÜKKAN 44,1,1
2776956,64,Ticari ve Konut,B4,Bilinmiyor,B4-A4 ELEKTRİK ODASI B4 KAZAN DAİRESİ ARKA KAPI KARŞISI,2016,2776956,0,MA-RF-3486-7015,Sayaç bağlı,B-1 KAT TİCARİ DÜKKAN 45,1,1
