Yeni sayaç seri no,Sıra No,Muhatap,Kat,Blok,Bölge,Eski sayaç üretim tarihi,Eski sayaç seri no,Eski sayaç son endeks,Kolayveri cihaz no,Not,Firma adı ve nereye ait,Akım trafo oranı,Çarpan değeri
2778316,104,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778316,0,MA-RF-3486-7013,Sayaç bağlı,A1-366 TİCARİ 1 KAT. WE TRADE,1,1
2778239,105,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778239,0,MA-RF-3486-7013,Sayaç bağlı,A1-367 TİCARİ 1 KAT,1,1
2778164,106,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778164,0,MA-RF-3486-7013,Sayaç bağlı,A1-368 TİCARİ 1 KAT (CLEAR SMİLE),1,1
2778247,107,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778247,0,MA-RF-3486-7013,Sayaç bağlı,A1-369 TİCARİ 1 KAT,1,1
2777736,108,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777736,0,MA-RF-3486-7013,Sayaç bağlı,A1-370 TİCARİ 1 KAT,1,1
2777483,109,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777483,0,MA-RF-3486-7013,Sayaç bağlı,A1-371 TİCARİ 1 KAT GVS,1,1
2777707,110,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777707,0,MA-RF-3486-7013,Sayaç bağlı,A1-372 TİCARİ 1 KAT,1,1
2778516,111,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778516,0,MA-RF-3486-7013,Sayaç bağlı,A1-373 TİCARİ 1 KAT,1,1
2777634,112,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777634,0,MA-RF-3486-7013,Sayaç bağlı,A1-374 TİCARİ 1 KAT,1,1
2778299,113,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778299,0,MA-RF-3486-7013,Sayaç bağlı,A1-375 TİCARİ 1 KAT (ALL NET CONSULTING),1,1
2778735,114,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778735,0,MA-RF-3486-7013,Sayaç bağlı,A1-376 TİCARİ 1 KAT,1,1
2778742,115,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778742,0,MA-RF-3486-7013,Sayaç bağlı,A1-377 TİCARİ 1 KAT,1,1
2778205,116,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2778205,0,MA-RF-3486-7013,Sayaç bağlı,A1-378 TİCARİ 1 KAT (ALU MASTER),1,1
2777641,117,Ticari ve Konut,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777641,0,MA-RF-3486-7013,Sayaç bağlı,A1-379 TİCARİ 1 KAT,1,1
300267030,118,AVM,Kat 1,A1 Elektrik Odası,Kat 1-A1 KAT1 ELEKTRİK ODASI,2016,2777810,29233,MA-RF-3486-7013,Sayaç bağlı,ORTAK ALAN,1,1
300267014,119,AVM,Kat 1,A3 Ticari Giriş,Kat 1-A3 TİCARİ GİRİŞ,2016,2777267,41586,MA-RF-3486-700F,Modem bağlı. Sinyal gelmiyor.,DÖHLER ORTAK ALAN,1,1
300265737,120,AVM,Kat 1,A3 Ticari Giriş,Kat 1-A3 TİCARİ GİRİŞ,2016,51185186,35648,MA-RF-3486-700F,Modem bağlı. Sinyal gelmiyor.,DÖHLER 24,400/5,80
300265464,121,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2015,2386502,12064,MA-RF-3486-6DFB,Sayaç bağlı,MAC FİT  25-26,800/5,160
300265461,122,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2015,2386668,19526,MA-RF-3486-6DFB,Sayaç bağlı,MİGROS 35,400/5,80
300265740,123,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2014,2385999,3501,MA-RF-3486-6DFB,Sayaç bağlı,ZERKUBİ KUYUMCU 27,75/5,15
2386317,124,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,0,0,0,MA-RF-3486-6DFB,MAĞAZA ŞİMDİLİK ENERJİSİNİ HAVUZ ALANINDAN KULLANIYOR ŞARTEL ÇIKIŞI KAPALIDIR.,RİTİM SİWİM,75/5,15
2385994,125,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,,,,MA-RF-3486-6DFB,Bilinmiyor,29 FUNDORA DEPO (RİTİM SİWİM YANI),75/6,15
2386383,126,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,,,,MA-RF-3486-6DFB,Bilinmiyor,DÜRÜMLE 176,125/5,25
2778295,127,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,,,,MA-RF-3486-6DFB,Bilinmiyor,ESKİ MAZAYA OFİS SAYACI,1,1
810028051,128,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2023,810028051,9548,MA-RF-3486-6DFB,Sayaç bağlı,STATEMENT 177,125/5,25
300265463,129,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2014,2385705,10795,MA-RF-3486-6DFB,Sayaç bağlı,AYUMİ SUSHİ 179,75/5,15
300265572,130,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2014,2385992,11074,MA-RF-3486-6DFB,Sayaç bağlı,VODEFONE 110,75/5,15
2777723,131,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2016,2777723,0,MA-RF-3486-6DFB,Sayaç bağlı,A3 TİCARİ ASANSÖR1 175,1,1
2778264,132,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2016,2778264,0,MA-RF-3486-6DFB,Sayaç bağlı,A3 TİCARİ ASANSÖR2 176,1,1
300267472,133,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2016,2777379,154669,MA-RF-3486-6DFB,Sayaç bağlı,TÜKCELL 111,1,1
300266992,134,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2016,2777589,7780,MA-RF-3486-6DFB,Sayaç bağlı,TÜRK TELEKOM,1,1
300265653,135,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2017,51176313,3836,MA-RF-3486-6DFB,Sayaç bağlı,DÖHLER 173-174-175-180,400/5,80
300267458,136,AVM,B3,A3 Elektrik Odası,B3-A3 B3 ELEKTRİK ODASI,2017,2777527,82,MA-RF-3486-6DFB,Sayaç bağlı,DÖHLER 181 YENİ DÜKKAN (WC YANI SAĞ YÖN),1,1
810043851,137,AVM,B3,A3 Elektrik Odası,B3-Trafo 1,2025,810043851,0,MA-RF-3486-6DEE,Sayaç bağlı,"ANA TRAFO PANASU (TR 1)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",100/5,20
810044603,138,AVM,B3,A3 Elektrik Odası,B3-Trafo 2,2025,810044603,0,MA-RF-3486-6DEE,Sayaç bağlı,"ANA TRAFO PANASU (TR 2)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",100/5,20
810044485,139,AVM,B3,A3 Elektrik Odası,B3-Trafo 4,2025,810044485,0,MA-RF-3486-6DEE,Sayaç bağlı,"ANA TRAFO PANASU (TR 3)2 Jeneratör sıstıcı, gövde ve oda fanlar, redrisör, oda aydınlatma",100/5,20
300265721,140,AVM,B3,A3 Jeneratör Yanı 1,B3-A4 B3 JENERATÖR YANI1,2014,2386356,99,MA-RF-3486-6DEE,Sayaç bağlı,YANGIN POMPASI A2 A5 JET FAN,1600/5,320
100371256,141,AVM,Giriş,Giriş,A-KAPI VALE İÇERSİNDE,2016,18736153,18867,YOK,Şimdilik bağlanmayacak.,RİTİM VALE,1,1
810027046,142,AVM,B3,A3 Jeneratör Yanı 2,B3-A3 B3 JENERATÖR YANI2,2023,810027046,2769,MA-RF-3486-6DEE,Sayaç bağlı,TİCARİ KAZAN,1000/5,200
300265749,143,AVM,B3,A3 Jeneratör Yanı 2,B3-A3 B3 JENERATÖR YANI2,2014,2386395,7162,MA-RF-3486-6DEE,Sayaç bağlı,TİCARİ CİLLER 1,800/5,160
300265647,144,AVM,B3,A3 Jeneratör Yanı 2,B3-A3 B3 JENERATÖR YANI2,2014,2386222,18918,MA-RF-3486-6DEE,Sayaç bağlı,TİCARİ CİLLER 2,800/5,160
300265465,145,AVM,B3,A3 Jeneratör Yanı 2,B3-A3 B3 JENERATÖR YANI2,2014,2386381,29,MA-RF-3486-6DEE,Sayaç bağlı,A3 A4 JET FAN,2500/5,500
2386333,146,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,,,,MA-RF-3486-7014,Bilinmiyor,Z-KA-5 161,75/5,15
300265564,147,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,2385737,31366,MA-RF-3486-7014,Sayaç bağlı,CAFE NERO 8-162,125/5,25
300265819,148,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,2385624,18403,MA-RF-3486-7014,Sayaç bağlı,TOYZ SHOP 34   30-31-32-33,125/5,25
2385962,149,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,,,,MA-RF-3486-7014,Bilinmiyor,NA TAMAAM DÜKKAN 169,75/5,15
300267459,150,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,2777593,29556,MA-RF-3486-7014,Sayaç bağlı,MESCİT 171,1,1
2777725,151,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,2777725,0,MA-RF-3486-700C,Sayaç bağlı,A5 TİCARİ ASANSÖR1 172,1,1
2777718,152,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,2777718,0,MA-RF-3486-700C,Sayaç bağlı,A5 TİCARİ ASANSÖR2 173,1,1
300267031,153,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,2777523,285909,MA-RF-3486-7014,Sayaç bağlı,WATSONS 34,1,1
2776620,154,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2015,2776620,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 48,1,1
2776366,155,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2015,2776366,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 49,1,1
1445451,156,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2011,1445451,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 50,1,1
2776459,157,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2015,2776459,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 51,1,1
2777101,158,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,2777101,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 52,1,1
5070283,159,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,5070283,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 53,1,1
5070396,160,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2016,5070396,0,MA-RF-3486-700C,Sayaç bağlı,A5 T.OFİS 54,1,1
2386010,161,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,,,,MA-RF-3486-7014,Bilinmiyor,NA TAMAAM DÜKKAN 4,125/5,15
2385628,162,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,,,,MA-RF-3486-7014,Bilinmiyor,NA TAMAAM DÜKKAN 5,75/5,15
300265639,163,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,238628236,715,MA-RF-3486-7014,Sayaç bağlı,GARAJ FORM B-3 D-6,75/5,15
300265748,164,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,238587337,931,MA-RF-3486-7014,Sayaç bağlı,GARAJ FORM B-3 D-7,75/5,15
300265825,165,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,238640138,974,MA-RF-3486-7014,Sayaç bağlı,GARAJ FORM B-3 D-8,75/5,15
300265965,166,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,238627739,694,MA-RF-3486-7014,Sayaç bağlı,GARAJ FORM B-3 D-9,75/5,15
300265820,167,AVM,B4,A5 Elektrik Odası Asansör Arkası,B4-A5 B4 ELEKTRİK ODASI A5 ASANSÖR ARKASI,2014,2386121310,820,MA-RF-3486-7014,Sayaç bağlı,GARAJ FORM B-3 D-10,75/5,15
4061743,168,Bilinmiyor,Bilinmiyor,Kule Bölgesi,KULE BÖLGESİ SU VE ELEKTRİK,,,,Bilinmiyor,Bilinmiyor,KAZAN SU m3,0,1
56071009,169,Bilinmiyor,Bilinmiyor,Kule Bölgesi,KULE BÖLGESİ SU VE ELEKTRİK,,,,Bilinmiyor,Bilinmiyor,KULE SU m3,0,1
80018891,170,Bilinmiyor,Bilinmiyor,Kule Bölgesi,KULE BÖLGESİ SU VE ELEKTRİK,,,,Bilinmiyor,Bilinmiyor,KULE ELEKTRİK,250/5,50
